name,author
Iki Sehrin Hikayesi,Charles Dickens
Notre Damen Kamburu,Victor Hugo 
Ask ve Gurur,Jane Austen 
Dirilis,Lev Nikolayevic Tolstoy
Oblomov,Ivan Goncarov
Babalar ve Ogullar,Ivan Turgenyev
Madam Bovary,Gustave Flaubert 
Yanl? Adam ve Deniz,Ernest Hemingway
Karamazov Kardesler,Fyodor Mihailovi Dostoyevski
Vadideki Zambak,Honore De Balzac
Dublinliler,James Joyce
Germinal,Emile Zola
Faust,Johann W. Geothe
Yuzbasinin Kizi,Aleksandr Sergenyevi Puskin
Ana,Maksim Gorki
Robinson Crusoe,Daniel Defoe
Bati Cephesinde Yeni Bir Sey Yok,Erich Maria Remarque
Kirmizi ve Siyah,Stendhal
Demir akce,Jack London
Beyaz Balina,Herman Melville
Gazap azimleri,John Steinbeck
olu Canlar,Nikolay Vasilyevi Gogol
Dorian Grayin Portresi,Oscar Wild
Monte Cristo Kontu,Alexadnre Dumas
Ugultulu Tepeler,Emily Bronte
 Don Kisot,Miguel De Cervantes Saavedra
Gelen Adi,Umberto Eco
Niteliksiz Adam,Robert Musil
Hikayeler,Anten Cehov
Hayvan Ciftligi,George Orwell
